ucas_provider,cah1,exposure_alljobs_beta,n_people
B74 Brighton and Sussex Medical School,(CAH01) medicine and dentistry,0.454315596978189,191
B78 University of Bristol,(CAH01) medicine and dentistry,0.414438507443563,602
B78 University of Bristol,(CAH02) subjects allied to medicine,0.326135883939994,55
B78 University of Bristol,(CAH03) biological and sport sciences,0.492850690891209,632
B78 University of Bristol,(CAH07) physical sciences,0.527116905368651,1164
B78 University of Bristol,(CAH09) mathematical sciences,0.558875586320085,1069
B78 University of Bristol,(CAH10) engineering and technology,0.577902673774761,858
B78 University of Bristol,(CAH11) computing,0.590387202732291,10
B78 University of Bristol,(CAH15) social sciences,0.528794907385425,1812
B78 University of Bristol,(CAH16) law,0.485000010252961,1785
B78 University of Bristol,(CAH17) business and management,0.523914264958738,1443
B78 University of Bristol,(CAH22) education and teaching,0.416386243850861,58
"B80 Bristol, UWE",(CAH01) medicine and dentistry,0.408744152505082,10
"B80 Bristol, UWE",(CAH02) subjects allied to medicine,0.392258392260393,428
"B80 Bristol, UWE",(CAH03) biological and sport sciences,0.469045398962908,214
"B80 Bristol, UWE",(CAH07) physical sciences,0.46621175247898,50
"B80 Bristol, UWE",(CAH09) mathematical sciences,0.55243331072256,278
"B80 Bristol, UWE",(CAH10) engineering and technology,0.535684868896074,2144
"B80 Bristol, UWE",(CAH11) computing,0.638922184926541,98
"B80 Bristol, UWE","(CAH13) architecture, building and planning",0.463674490257852,703
"B80 Bristol, UWE",(CAH15) social sciences,0.529502720153869,666
"B80 Bristol, UWE",(CAH16) law,0.487052778090634,1858
"B80 Bristol, UWE",(CAH17) business and management,0.507146467898349,7865
"B80 Bristol, UWE",(CAH22) education and teaching,0.401016218531712,491
B84 Brunel University of London,(CAH02) subjects allied to medicine,0.381898311332304,35
B84 Brunel University of London,(CAH03) biological and sport sciences,0.512024709687561,57
B84 Brunel University of London,(CAH09) mathematical sciences,0.577219561228732,559
B84 Brunel University of London,(CAH10) engineering and technology,0.564049987403903,2705
B84 Brunel University of London,(CAH11) computing,0.589566086582154,53
B84 Brunel University of London,(CAH15) social sciences,0.535431510980209,525
B84 Brunel University of London,(CAH16) law,0.493878320782912,991
B84 Brunel University of London,(CAH17) business and management,0.522406331876434,4391
B84 Brunel University of London,(CAH22) education and teaching,0.411691389482831,131
B90 University of Buckingham,(CAH01) medicine and dentistry,0.489549264155879,21
B90 University of Buckingham,(CAH10) engineering and technology,0.591905031910984,26
B90 University of Buckingham,(CAH15) social sciences,0.546776843051736,98
B90 University of Buckingham,(CAH16) law,0.484617642308426,356
B90 University of Buckingham,(CAH17) business and management,0.517681740292876,452
B93 Bury College,(CAH10) engineering and technology,0.48956561533694,24
B93 Bury College,(CAH11) computing,0.566522469508623,12
B93 Bury College,(CAH17) business and management,0.409969232442376,11
B94 Buckinghamshire New University,(CAH02) subjects allied to medicine,0.386796169046529,315
B94 Buckinghamshire New University,(CAH10) engineering and technology,0.540224952943214,293
B94 Buckinghamshire New University,(CAH11) computing,0.460732067480502,13
B94 Buckinghamshire New University,(CAH16) law,0.485509443546326,139
B94 Buckinghamshire New University,(CAH17) business and management,0.474976359089009,3128
B94 Buckinghamshire New University,(CAH22) education and teaching,0.378516366027772,51
C05 University of Cambridge,(CAH01) medicine and dentistry,0.435684451817769,528
C05 University of Cambridge,(CAH02) subjects allied to medicine,0.410417748674856,10
C05 University of Cambridge,(CAH03) biological and sport sciences,0.51274059863214,47
C05 University of Cambridge,(CAH07) physical sciences,0.543346672806996,283
C05 University of Cambridge,(CAH09) mathematical sciences,0.58734517840829,903
C05 University of Cambridge,(CAH10) engineering and technology,0.562598974333033,822
C05 University of Cambridge,"(CAH13) architecture, building and planning",0.486487020103158,341
C05 University of Cambridge,(CAH15) social sciences,0.532082003500782,1108
C05 University of Cambridge,(CAH16) law,0.479822411632863,1468
C05 University of Cambridge,(CAH17) business and management,0.515321575337263,494
C05 University of Cambridge,(CAH22) education and teaching,0.476088196255905,223
C09 Cambridge Regional College,(CAH10) engineering and technology,0.466553626224218,26
C09 Cambridge Regional College,(CAH11) computing,0.652040539073429,15
C09 Cambridge Regional College,(CAH17) business and management,0.40174418717655,18
C10 Canterbury Christ Church University,(CAH02) subjects allied to medicine,0.380343464753416,238
C10 Canterbury Christ Church University,(CAH03) biological and sport sciences,0.450258674527771,37
C10 Canterbury Christ Church University,(CAH10) engineering and technology,0.587368592119665,160
C10 Canterbury Christ Church University,(CAH11) computing,0.572690576050379,34
C10 Canterbury Christ Church University,(CAH16) law,0.481262612989081,303
C10 Canterbury Christ Church University,(CAH17) business and management,0.505266738174712,2210
C10 Canterbury Christ Church University,(CAH22) education and teaching,0.381414632997489,1120
C15 Cardiff University,(CAH01) medicine and dentistry,0.446150950474618,362
C15 Cardiff University,(CAH02) subjects allied to medicine,0.396602564131444,232
C15 Cardiff University,(CAH03) biological and sport sciences,0.503704490258243,341
C15 Cardiff University,(CAH07) physical sciences,0.494050814677378,694
C15 Cardiff University,(CAH09) mathematical sciences,0.573080573537303,858
C15 Cardiff University,(CAH10) engineering and technology,0.566266240773793,1521
C15 Cardiff University,"(CAH13) architecture, building and planning",0.477337764855162,594
C15 Cardiff University,(CAH15) social sciences,0.52388236602629,1002
C15 Cardiff University,(CAH16) law,0.481481917342363,1954
C15 Cardiff University,(CAH17) business and management,0.518529765611297,3452
C15 Cardiff University,(CAH22) education and teaching,0.453111961637681,223
C20 Cardiff Metropolitan University,(CAH10) engineering and technology,0.575979644771449,263
C20 Cardiff Metropolitan University,(CAH11) computing,0.667737089216643,11
C20 Cardiff Metropolitan University,"(CAH13) architecture, building and planning",0.499017473384174,50
C20 Cardiff Metropolitan University,(CAH15) social sciences,0.511590862476094,67
C20 Cardiff Metropolitan University,(CAH17) business and management,0.495016468725636,2475
C20 Cardiff Metropolitan University,(CAH22) education and teaching,0.380675887970377,624
C22 Coleg Sir Gar,(CAH10) engineering and technology,0.530344836233758,15
C22 Coleg Sir Gar,(CAH17) business and management,0.570751578576199,11
C30 University of Lancashire,(CAH01) medicine and dentistry,0.42244918995001,75
C30 University of Lancashire,(CAH02) subjects allied to medicine,0.386736720498323,309
C30 University of Lancashire,(CAH03) biological and sport sciences,0.486307096624684,33
C30 University of Lancashire,(CAH07) physical sciences,0.475523848305947,167
C30 University of Lancashire,(CAH09) mathematical sciences,0.551778978182913,116
C30 University of Lancashire,(CAH10) engineering and technology,0.544727752469671,1407
C30 University of Lancashire,(CAH11) computing,0.64261236455444,28
C30 University of Lancashire,"(CAH13) architecture, building and planning",0.466423649895979,137
C30 University of Lancashire,(CAH15) social sciences,0.542004862925941,108
C30 University of Lancashire,(CAH16) law,0.475248752143618,870
C30 University of Lancashire,(CAH17) business and management,0.497058102156209,4309
C30 University of Lancashire,(CAH22) education and teaching,0.40746838256419,287
"C35 Royal Central School of Speech and Drama, University of London",(CAH17) business and management,0.439669123131463,128
"C35 Royal Central School of Speech and Drama, University of London",(CAH22) education and teaching,0.432232202982162,300
C39 City of Glasgow College,(CAH17) business and management,0.483923944209694,16
C54 City College Norwich (incorporating Easton College),(CAH10) engineering and technology,0.487007812641549,20
C54 City College Norwich (incorporating Easton College),(CAH17) business and management,0.491315521216798,97
C55 University of Chester,(CAH02) subjects allied to medicine,0.381595267426327,257
C55 University of Chester,(CAH03) biological and sport sciences,0.422308473603237,217
C55 University of Chester,(CAH07) physical sciences,0.493437694218706,14
C55 University of Chester,(CAH09) mathematical sciences,0.569155531200151,171
C55 University of Chester,(CAH10) engineering and technology,0.596008848209521,382
C55 University of Chester,(CAH15) social sciences,0.497123801459288,22
C55 University of Chester,(CAH16) law,0.488154784549141,538
C55 University of Chester,(CAH17) business and management,0.499178170447933,2374
C55 University of Chester,(CAH22) education and teaching,0.395329176632874,376
C58 University of Chichester,(CAH09) mathematical sciences,0.50041287792765,28
C58 University of Chichester,(CAH10) engineering and technology,0.420820278853203,33
C58 University of Chichester,(CAH16) law,0.496238122806885,10
C58 University of Chichester,(CAH17) business and management,0.499554238639499,762
C58 University of Chichester,(CAH22) education and teaching,0.397965968348753,687
"C60 City St George's, University of London",(CAH02) subjects allied to medicine,0.398774076108037,119
"C60 City St George's, University of London",(CAH09) mathematical sciences,0.539420831720936,69
"C60 City St George's, University of London",(CAH10) engineering and technology,0.557610553858285,632
"C60 City St George's, University of London",(CAH11) computing,0.594675648987085,16
"C60 City St George's, University of London",(CAH15) social sciences,0.528800165197886,371
"C60 City St George's, University of London",(CAH16) law,0.49956924082715,586
"C60 City St George's, University of London",(CAH17) business and management,0.528852093599265,2561
C64 Coventry College,(CAH10) engineering and technology,0.499386416566919,25
C69 Sunderland College,(CAH10) engineering and technology,0.513219926820716,17
C69 Sunderland College,(CAH11) computing,0.551800287007216,14
C69 Sunderland College,(CAH17) business and management,0.398217061159246,10
C78 Cornwall College,(CAH03) biological and sport sciences,0.370959837959284,21
C78 Cornwall College,(CAH10) engineering and technology,0.434263235352308,20
C78 Cornwall College,(CAH17) business and management,0.460872458294367,52
C83 City College Plymouth,(CAH10) engineering and technology,0.460776444678265,29
C83 City College Plymouth,(CAH17) business and management,0.401023481974976,12
C85 Coventry University,(CAH02) subjects allied to medicine,0.388943296992737,216
C85 Coventry University,(CAH03) biological and sport sciences,0.462760853597078,36
C85 Coventry University,(CAH07) physical sciences,0.489847677121535,108
C85 Coventry University,(CAH09) mathematical sciences,0.580737305894454,333
C85 Coventry University,(CAH10) engineering and technology,0.517229855094165,4263
C85 Coventry University,(CAH11) computing,0.614794562853258,124
C85 Coventry University,"(CAH13) architecture, building and planning",0.474255197343835,236
C85 Coventry University,(CAH15) social sciences,0.52335866590377,742
C85 Coventry University,(CAH16) law,0.50415431964769,1242
C85 Coventry University,(CAH17) business and management,0.50863918509335,8136
C85 Coventry University,(CAH22) education and teaching,0.354555739741372,39
C88 Craven College,(CAH17) business and management,0.431526733978337,36
C92 Croydon University Centre,(CAH10) engineering and technology,0.384105619934284,29
C92 Croydon University Centre,(CAH11) computing,0.416375157662657,23
C92 Croydon University Centre,(CAH17) business and management,0.492270819768637,61
C93 University for the Creative Arts,(CAH10) engineering and technology,0.493864298220761,198
C93 University for the Creative Arts,"(CAH13) architecture, building and planning",0.475152354073123,566
C93 University for the Creative Arts,(CAH17) business and management,0.499638941435023,672
C99 University of Cumbria,(CAH02) subjects allied to medicine,0.396764763780864,120
C99 University of Cumbria,(CAH03) biological and sport sciences,0.410924861709583,49
C99 University of Cumbria,(CAH07) physical sciences,0.483677217084401,11
C99 University of Cumbria,(CAH10) engineering and technology,0.511790026221259,97
C99 University of Cumbria,(CAH11) computing,0.477695086569403,12
C99 University of Cumbria,(CAH16) law,0.488896889067625,79
C99 University of Cumbria,(CAH17) business and management,0.478374076777501,457
C99 University of Cumbria,(CAH22) education and teaching,0.372520155727032,711
D16 dBs Institute,(CAH10) engineering and technology,0.482428790778327,45
D26 De Montfort University,(CAH02) subjects allied to medicine,0.394376798736925,207
D26 De Montfort University,(CAH07) physical sciences,0.488913621812388,53
D26 De Montfort University,(CAH09) mathematical sciences,0.52560361947547,68
D26 De Montfort University,(CAH10) engineering and technology,0.576180086837153,1863
D26 De Montfort University,(CAH11) computing,0.611059667144277,85
D26 De Montfort University,"(CAH13) architecture, building and planning",0.479100931667095,856
D26 De Montfort University,(CAH15) social sciences,0.543282077018748,266
D26 De Montfort University,(CAH16) law,0.487561878704984,1369
D26 De Montfort University,(CAH17) business and management,0.514536290849427,7391
D26 De Montfort University,(CAH22) education and teaching,0.42069588010565,432
D38 Derby College,(CAH10) engineering and technology,0.410346513927424,60
D38 Derby College,(CAH11) computing,0.560980014129576,14
D38 Derby College,(CAH17) business and management,0.486461058053162,27
D39 University of Derby,(CAH02) subjects allied to medicine,0.387407547768494,232
D39 University of Derby,(CAH03) biological and sport sciences,0.435225114752122,255
D39 University of Derby,(CAH09) mathematical sciences,0.524696780316007,155
D39 University of Derby,(CAH10) engineering and technology,0.533275423943464,1892
D39 University of Derby,(CAH11) computing,0.633083237315004,147
D39 University of Derby,"(CAH13) architecture, building and planning",0.476462192737215,90
D39 University of Derby,(CAH15) social sciences,0.455589160566053,40
D39 University of Derby,(CAH16) law,0.485571810663468,665
D39 University of Derby,(CAH17) business and management,0.487721463842483,3849
D39 University of Derby,(CAH22) education and teaching,0.398168492660923,652
D65 University of Dundee,(CAH01) medicine and dentistry,0.442206160667865,151
D65 University of Dundee,(CAH02) subjects allied to medicine,0.389959688591352,274
D65 University of Dundee,(CAH03) biological and sport sciences,0.476335614834814,82
D65 University of Dundee,(CAH07) physical sciences,0.511774581429934,99
D65 University of Dundee,(CAH09) mathematical sciences,0.544377187749459,147
D65 University of Dundee,(CAH10) engineering and technology,0.497349817378462,583
D65 University of Dundee,"(CAH13) architecture, building and planning",0.480495626779826,347
D65 University of Dundee,(CAH15) social sciences,0.521469688636761,78
D65 University of Dundee,(CAH16) law,0.475684743975073,741
D65 University of Dundee,(CAH17) business and management,0.507508670189537,617
D65 University of Dundee,(CAH22) education and teaching,0.392460416560089,175
D86 Durham University,(CAH01) medicine and dentistry,0.419652375429427,34
D86 Durham University,(CAH03) biological and sport sciences,0.509982962459033,410
D86 Durham University,(CAH07) physical sciences,0.531459901057703,771
D86 Durham University,(CAH09) mathematical sciences,0.553152787968494,786
D86 Durham University,(CAH10) engineering and technology,0.580756721110298,508
D86 Durham University,(CAH11) computing,0.440995785991281,12
D86 Durham University,(CAH15) social sciences,0.52571355142292,1992
D86 Durham University,(CAH16) law,0.484674004453558,1322
D86 Durham University,(CAH17) business and management,0.517557854702044,2150
D86 Durham University,(CAH22) education and teaching,0.414631768931416,413
E14 University of East Anglia UEA,(CAH01) medicine and dentistry,0.420013503510169,279
E14 University of East Anglia UEA,(CAH02) subjects allied to medicine,0.394183620713849,233
E14 University of East Anglia UEA,(CAH03) biological and sport sciences,0.507227445838224,107
E14 University of East Anglia UEA,(CAH07) physical sciences,0.48554942511547,219
E14 University of East Anglia UEA,(CAH09) mathematical sciences,0.541317984259995,369
E14 University of East Anglia UEA,(CAH10) engineering and technology,0.615019770685881,629
E14 University of East Anglia UEA,(CAH15) social sciences,0.529396950168743,1013
E14 University of East Anglia UEA,(CAH16) law,0.487893485808014,1094
